name,lat,lng,goal,photo
Regus,52.38575356,4.84303181,Culture & Historical Places,https://www.huurbieding.nl/images/content/objects/2928/fotos_gustav-mahlerplein-2-in-amsterdam-22f60106075e53cd29d4a2d71199219b_normal.jpg
In De Bajes,52.385312,4.850435,Night Life,https://www.amsterdam-dance-event.nl/img/images/venues/58e223225aed5.770.jpg?w=1920&h=1400&fit=crop-50-45.95&fm=pjpg
Auditorium,52.369192,4.843891,Culture & Historical Places,https://i.pinimg.com/564x/0d/2d/ed/0d2dedd286880a6043cc2bdddf4f1670.jpg
Augustina Kerk,52.37685726,4.853365634,Culture & Historical Places,https://previews.123rf.com/images/nikonaft/nikonaft1211/nikonaft121100004/16188428-the-church-of-st-augustine-eglise-saint-augustin-de-paris-in-paris-france.jpg
Auditorium ING House,52.33708441,4.85553844,Culture & Historical Places,https://images.adsttc.com/media/images/5467/8f3c/e58e/ce12/6900/02ea/slideshow/portada_MVSA_ING_House_02.jpg?1416072998
NSF Training,52.362656,4.880098,Culture & Historical Places,https://dev.rodpub.com/images/169/526_main.jpg
spiegelzaal,52.35642089,4.879602851,Culture & Historical Places,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Chateau_Versailles_Galerie_des_Glaces.jpg/1280px-Chateau_Versailles_Galerie_des_Glaces.jpg
Park Foyer,52.34002576,4.888539774,Culture & Historical Places,https://images.adsttc.com/media/images/500e/07e5/28ba/0d66/2500/213f/slideshow/stringio.jpg?1414040222
Renaissance Conference Center,52.378071,4.894396,Culture & Historical Places,https://cache.marriott.com/marriottassets/marriott/CHIRS/chirs-schaumburg-0108-hor-feat.jpg?download=2880px:*
Alex Auditorium,52.33562752,4.888100624,Culture & Historical Places,https://images.meetingsbooker.com/images/venues/alextheatre-2.jpg
Distelweg Brug,52.391338,4.908013,Culture & Historical Places,https://upload.wikimedia.org/wikipedia/commons/3/32/Distelweg_brug.JPG
IJland Studio,52.373996,4.93544,Culture & Historical Places,https://www.sugarboyandthesinners.com/wp-content/uploads/2013/09/74564_636929006347977_1287885148_n.jpg
Verel's Poolbar,52.35029774,4.780677084,Night Life,https://img.theculturetrip.com/1024x574/smart/wp-content/uploads/2016/11/plan-b.jpg
Bar Blue Square Hotel,52.3786755,4.82056655,Night Life,https://media-cdn.tripadvisor.com/media/photo-s/03/60/01/75/the-algonquin-hotel-times.jpg
Tunes Bar,52.35854798,4.879126474,Night Life,https://media-cdn.tripadvisor.com/media/photo-s/16/8b/b0/3a/tunes-bar-interiror.jpg
Manhattan Bar Lounge,52.33584374,4.874864448,Night Life,https://media-cdn.tripadvisor.com/media/photo-s/03/c8/14/09/manhattan-lounge-bar.jpg
Novotel Hotel Amsterdam,52.33384348,4.888463733,Night Life,https://dq5r178u4t83b.cloudfront.net/wp-content/uploads/sites/48/2017/04/02085643/4505210_XL.jpg
Twenty Third Bar,52.34858295,4.892767668,Night Life,https://www.therooftopguide.com/rooftop-bars-in-amsterdam/Bilder/TheTwentyThirdBar_2_slide.jpg
Renaissance Executive Lounge,52.37786927,4.894581327,Night Life,https://media-cdn.tripadvisor.com/media/photo-s/0a/bb/a9/aa/executive-lounge-view.jpg
Mercure Bar Amsterdam City Centre,52.335137,4.913585,Night Life,https://cf.bstatic.com/images/hotel/max1280x900/355/35579255.jpg
Hotel Okura Main Kitchen,52.34733088,4.891351371,Night Life,https://pix8.agoda.net/hotelImages/115/11502/11502_15062620380031031365.jpg?s=713x768
Strand Sloterplas,52.36898997,4.81790185,Relaxing,https://www.dewestkrant.nl/wp-content/uploads/2019/04/IMG_4685-1024x762.jpeg
Aquarius Strand,52.33469976,4.814540682,Relaxing,https://www.aquariusonthebeach.com.au/uploads/1/3/1/2/131279657/townsville-winter-is-just-beautiful-at-aquarius-townsville-accommodation-the-strand_orig.jpg
Oeverlanden Strandje,52.3342974,4.813768453,Relaxing,https://fastly.4sqi.net/img/general/width960/74512178_hBbgH6YmQ-IfT5Qbyvjge1XPUyFQJeb7Br2SvJnxaLU.jpg
Sauna Ramada Apollo,52.36793968,4.844692698,Relaxing,https://media-cdn.tripadvisor.com/media/photo-m/1280/18/a4/b9/1e/floor17-rooftop-terrace.jpg
Bloemendaal,52.39273697,4.868750625,Relaxing,https://cf.bstatic.com/images/hotel/max1280x900/159/159837031.jpg
Strand Zuid,52.34142238,4.886813164,Relaxing,https://charlies-kitchen.nl/wp-content/uploads/2017/06/18986312_1441531735909365_904951166_o.jpg
De Rustige Tobbe,52.343756,4.895358,Relaxing,https://campspace.com/media/detail/uploads/space/17/35/_1/1735_1_5ccc0d5347867.jpg
Bogor Beach,52.37702959,4.934843103,Relaxing,https://3.bp.blogspot.com/-MRltnOS1Nyg/WppWXwtXqEI/AAAAAAAAFGQ/V3vOD2IU-CUAs4tKsSTOGeCBDhYhwB1CwCLcBGAs/s1600/IMG_1891edited.jpg
BBQ Eiland,52.362667,4.958066,Relaxing,https://www.yourlittleblackbook.me/wp-content/uploads/2017/08/amsterdam-barbecuen-parken.jpg
"Strandje ""IJburg 2""",52.35555369,5.004053039,Relaxing,https://www.amsterdamheefthet.nl/wp-content/uploads/2019/05/strand-ijburg-3.jpg
Sloterparkbad,52.37046543,4.817394561,Relaxing,https://media-cdn.sygictraveldata.com/media/800x600/612664395a40232133447d33247d3832353331303538
Zwemschool De Natte Kikker,52.3705291,4.817170228,Relaxing,https://www.happyswim.eu/wp-content/uploads/2020/01/Happy-Swim-groepsfoto-Oirschot.jpg
Zwemschool De Druppel,52.370721,4.817949,Relaxing,https://zwemschooldruppel.nl/wp-content/uploads/2019/11/IMG_3628-scaled-e1574959918229.jpg
Mercatorbad,52.37162472,4.846292517,Relaxing,https://miesarch.com/uploads/images/works/786-6179.jpg
David Lloyd Swimming Pool Area,52.35764124,4.85595732,Relaxing,https://webstream2.davidlloyd.co.uk/-/media/david-lloyd/images/clubs/harrogate/1440x780/academy-3-pool-1440x780.jpg
"Zwembad ""Het Kwartier""",52.34563151,4.855021172,Relaxing,https://lutterman.nl/wp-content/uploads/2019/09/tegelwerk-hetkwartier-amsterdam-3-825x570.jpg
Gibraltarbadje,52.383369,4.85447003,Relaxing,https://www.citymom.nl/wp-content/uploads/2013/02/JJ-Cremerplein-pierenbadje.jpg
Pierenbad Tuindorp,52.413666,4.88579,Relaxing,https://www.amsterdamsdagblad.nl/image/5753_6224_500_500.jpg
De Mirandabad,52.33924518,4.902669429,Relaxing,https://www.zwemparadijzen.nl/images/albums/xmirandabad.jpg.pagespeed.ic.49hereaFZN.webp
BadBuiten,52.34071242,4.916434253,Relaxing,https://www.amsterdamheefthet.nl/wp-content/uploads/cache/images/2020/08/badbuiten/badbuiten-319792420.png
