nameOfPlace,lat,lng,avg_rate_of_place,avg_hours_of_place,avg_ages_of_place,count_of_post_added_to_place
thuinnen compleks,52.37836075,4.795332432,0,0,0,0
Molen De 1100 Roe,52.36754223,4.79429841,0,0,0,0
Windmolen Eendrachtspark,52.36726,4.79338,0,0,0,0
Future Cafe,52.362382,4.791225,0,0,0,0
Wesleys Place,52.356743,4.789208,0,0,0,0
Dierweide Osdorp,52.358988,4.790719,0,0,0,0
Lovely Balkon In De Zon,52.359515,4.790886,0,0,0,0
NickieNonstop's Studio,52.355248,4.792073,0,0,0,0
Pie,52.355431,4.79239,0,0,0,0
NickieNonstop's Studio,52.35537542,4.792839289,0,0,0,0
Sander Bras's!,52.351927,4.789151,0,0,0,0
De Serre,52.35104425,4.794716968,0,0,0,0
Osdorp Palace Garden,52.347418,4.794713367,0,0,0,0
Voetbalveldje Louis Visserplein,52.35309782,4.794661849,0,0,0,0
meer en vaart park,52.35448736,4.79433876,0,0,0,0
Foucault @ Gezelligheid,52.420722,4.801435,0,0,0,0
Amerikahaven,52.41054558,4.800621251,0,0,0,0
Amsterdam Westhaven,52.40603649,4.801387373,0,0,0,0
BP Amsterdam terminal,52.402838,4.795136,0,0,0,0
Sluispolder,52.40661864,4.80151826,0,0,0,0
Bleekemolen Raceplanet,52.39638231,4.795702096,0,0,0,0
Pieterpostsingel,52.383462,4.797634,0,0,0,0
N200 richting Halfweg,52.38437553,4.803255167,0,0,0,0
Prettenpad,52.38583831,4.803600029,0,0,0,0
Het Land Der Blinden,52.37915421,4.798762798,0,0,0,0
Logeerkamer,52.37927246,4.79873991,0,0,0,0
vieze frank's,52.38218689,4.800715446,0,0,0,0
GolfClub Ookmeer,52.3717594,4.797298981,0,0,0,0
Tennispark Osdorp,52.36948782,4.795800447,0,0,0,0
Devonello,52.367854,4.795785,0,0,0,0
AGB,52.37203055,4.798221536,0,0,0,0
Devo58,52.367839,4.795899,0,0,0,0
V en V voetballlllll,52.369618,4.798885,0,0,0,0
C.V.V. Vlug en Vaardig,52.36954098,4.798735,0,0,0,0
Amsterdam Pirates,52.36669399,4.799354088,0,0,0,0
Dcg,52.36606991,4.798145432,0,0,0,0
Nederlandse WingTsun Organisatie,52.36357118,4.800567023,0,0,0,0
Ookmeerweg,52.36414745,4.795917645,0,0,0,0
Tulip Inn Amsterdam City West,52.362382,4.794656,0,0,0,0
Mokum H.A.W.K.S.,52.36697884,4.799362421,0,0,0,0
Sportpark Ookmeer,52.3705053,4.798480687,0,0,0,0
De poort van Constant,52.368421,4.800177,0,0,0,0
De poort van Constant,52.368322,4.800767,0,0,0,0
Amsterdam Genclerbirligi,52.3717959,4.798704565,0,0,0,0
Keuter HQ,52.362082,4.798856,0,0,0,0
Balcontrole.nl,52.36645331,4.803671489,0,0,0,0
schooltuin osdorp,52.3656817,4.804658902,0,0,0,0
Brug Hoekenespad (Stadspark Osdorp),52.35513943,4.797597653,0,0,0,0
Bar Jorritsma,52.354641,4.798157,0,0,0,0
Hoofd Ingang (Stadspark Osdorp),52.3572639,4.796983967,0,0,0,0
summer,52.35836435,4.800775931,0,0,0,0
Ferrari Fire Force : HQ,52.35838,4.801122,0,0,0,0
Jan Van Zutphenplantsoen,52.34932298,4.799648908,0,0,0,0
Dog Park,52.34885147,4.796415348,0,0,0,0
Picknick Spot Don & Josien,52.34982404,4.800022874,0,0,0,0
Jan Smitstraat,52.35126133,4.799922638,0,0,0,0
Westhaven,52.41527529,4.80947658,0,0,0,0
Amsterdam Chapter,52.404465,4.802147325,0,0,0,0
OUST.je,52.38386154,4.807281017,0,0,0,0
kippies,52.38136292,4.803888321,0,0,0,0
Crazy Horse's PingPongBall Shooting Strippers,52.3817998,4.806701733,0,0,0,0
Poedelbadje Eendrachtspark,52.382713,4.80943,0,0,0,0
Hollanda fenerbahceliler dernegi,52.37800521,4.806875681,0,0,0,0
Vuurtoren Bergen,52.37854771,4.808507186,0,0,0,0
Timotheus Speeltuin,52.3778642,4.807880508,0,0,0,0
Bounz,52.37152,4.803088,0,0,0,0
ISH Gebouw,52.371591,4.802918,0,0,0,0
ROHDA Amsterdam,52.3701381,4.802585681,0,0,0,0
Griffioen outdoor,52.371835,4.804195,0,0,0,0
Rozentuintje,52.375437,4.807749,0,0,0,0
Time Out Sportcafe,52.36786226,4.805122462,0,0,0,0
Manege Geuzeneiland,52.37283527,4.806210837,0,0,0,0
Talentenhuis,52.36137992,4.805978495,0,0,0,0
Soos dbsv,52.36761,4.805615,0,0,0,0
Sloterpark,52.36214063,4.809547987,0,0,0,0
Sportcentrum Caland,52.3543051,4.807204509,0,0,0,0
Food Night,52.35931,4.808311,0,0,0,0
Onze Lieve Buren,52.346317,4.802834,0,0,0,0
Natuurpark de Vrije Geer,52.34217785,4.802243271,0,0,0,0
