name,lat,lng,goal
Oeverlanden Strandje,52.3342974,4.813768453,Relaxing
Big Black Hot Box 40 Gr Celsius,52.35341416,4.833773633,Relaxing
Ravelina am See,52.33508805,4.82164672,Relaxing
Sauna Ramada Apollo,52.36793968,4.844692698,Relaxing
Bloemendaal,52.39273697,4.868750625,Relaxing
Strand West,52.394038,4.879491,Relaxing
Planking Tree,52.42163479,4.886684418,Relaxing
Strand Zuid,52.34142238,4.886813164,Relaxing
De Rustige Tobbe,52.343756,4.895358,Relaxing
Strand van Java,52.37718302,4.934161822,Relaxing
Bogor Beach,52.37702959,4.934843103,Relaxing
BBQ Eiland,52.362667,4.958066,Relaxing
jaarlijkse beach party rieteiland oost,52.346595,5.001826,Relaxing
"Strandje ""IJburg 2""",52.35555369,5.004053039,Relaxing
Polygoongracht,52.356452,4.997056,Relaxing
Poedelbadje Eendrachtspark,52.382713,4.80943,Relaxing
Sloterparkbad,52.37046543,4.817394561,Relaxing
Zwemschool De Natte Kikker,52.3705291,4.817170228,Relaxing
Zwemschool De Druppel,52.370721,4.817949,Relaxing
Mercatorbad,52.37162472,4.846292517,Relaxing
David Lloyd Swimming Pool Area,52.35764124,4.85595732,Relaxing
"Zwembad ""Het Kwartier""",52.34563151,4.855021172,Relaxing
Gibraltarbadje,52.383369,4.85447003,Relaxing
Pierenbad Tuindorp,52.413666,4.88579,Relaxing
De Werf,52.40686745,4.894081163,Relaxing
De Mirandabad,52.33924518,4.902669429,Relaxing
Bijlmerbad,52.34031001,4.920718394,Relaxing
BadBuiten,52.34071242,4.916434253,Relaxing
Amsterdam City Swim,52.36625935,4.901518911,Relaxing
Zwemschool SwimBee locatie Amsterdam Noord,52.40091332,4.957473278,Relaxing
Ronald McDonald bad,52.40009308,4.959681988,Relaxing
Zwemschool de Zwaantjes,52.40000865,4.9598701,Relaxing
Flevoparkbad,52.36458109,4.952130318,Relaxing
Zwemparadijs Hensbroekerstraat,52.392461,4.943862,Relaxing
Plein '40-'45,52.38031474,4.822394619,Shopping
Coffeeshop Happiness,52.36981246,4.849373162,Shopping
Barney's Coffeeshop Amsterdam,52.38057422,4.890859782,Shopping
Waterlooplein,52.36830592,4.901959374,Shopping
Winkelcentrum Banne Centrum,52.4075506,4.91687333,Shopping
Gassan Diamonds,52.36962454,4.903713205,Shopping
Dappermarkt,52.36266477,4.927486181,Shopping
Jachthaven ijburg,52.35317363,5.004712343,Sport & Extreme
Rondje IJburg,52.35569224,4.994743436,Sport & Extreme
AFC IJburg,52.356817,4.979538175,Sport & Extreme
Stormbaan,52.35019528,5.005837027,Sport & Extreme
Sporthallen Zuid,52.33997373,4.854133129,Sport & Extreme
Frans Otten Stadion,52.33919368,4.851429462,Sport & Extreme
TCS Mizuno Half Marathon,52.34525953,4.858626081,Sport & Extreme
CTO Olympisch Stadion #14,52.34451217,4.852954,Sport & Extreme
